Stage,Check,Verdict,Note
1. Model inputs,Transition probabilities in Table 6 reconcile to the derivation in Tables 4-5,pass,1-exp(-p) reproduces all six probabilities exactly; PH-D reproduces by subtraction to four decimals
1. Model inputs,"All transition probabilities lie within [0,1]",pass,Checked for both arms
1. Model inputs,Raising the drug price raises total cost,pass,Monotone across a 4800-6000 CNY sweep
1. Model inputs,Implementation matches the paper's own account of which costs are included,not pass,"Limitations state only medicine costs were counted, but the published totals reproduce only with the MI and stroke state costs included"
1. Model inputs,Inputs reconcile to their cited sources,not pass,"Table 3 attributes utilities 0.98 and 0.87 to ACCOMPLISH, which reports no utility outcome; the Methods attribute the utilities to two other references the table never names"
1. Model inputs,Every input has a retrievable source,not pass,Drug prices cite a tender website with no version or date; three inputs cite a Chinese-language article not obtained
1. Model inputs,Each row of the transition matrix sums to one,not pass,"The event-free row as printed sums to 1.0001: PH-E is the complement of the unrounded values while the other three are each rounded independently. A display artefact, not a modelling one"
1. Model inputs,Observation period of the source data matches the conversion applied,not pass,ACCOMPLISH's percentages are cumulative over a mean 36-month follow-up and are converted as though annual; run over the trial's own three years the model returns 11.2% cumulative death where 4.1% went in
1. Model inputs,Event definitions in the source match the states they populate,not pass,"The 2.2% and 1.9% figures are 'fatal and nonfatal' events, used to populate non-fatal states while death is modelled separately"
1. Model inputs,Analytic perspective stated,not pass,"Nothing in the paper states whether the evaluation takes a payer, health-system or societal perspective"
1. Model inputs,The observation period used in the rate conversion is reported,not pass,The Methods print the conversion with t1 as a free argument and never assign it a value; the trial's follow-up duration is not mentioned either
1. Model inputs,Inputs printed in the tables are the inputs the model ran on,not pass,"Fourteen of the fifteen ranges on Figure 4 back-solve to the value in Tables 2 and 3; the amlodipine drug price implies 5459.50 where Table 2 prints 5494.53, and only the former reproduces the published total"
1. Model inputs,The two columns of Table 5 are reconcilable to one conversion,not pass,"Back-solving the observation period linking them gives about 3.3 years for three rows, exactly one year for a fourth and four weeks for the fifth; the left-hand column is used by nothing in Table 6 or the model"
1. Model inputs,"Rates, probabilities and percentages are named and scaled correctly",not pass,Tables 5 and 6 are both headed (%) but hold probabilities - 0.9251 is not 0.9251%; ISPOR-SMDM asks that rates never be shown as percentages and probabilities never be called rates
1. Model inputs,Post-event fatality inputs locatable in the cited source,cant_verify,"27.2% does not appear in ACCOMPLISH; 6.3% appears once, as a different endpoint in the other arm"
2. Event and state calculations,State occupancy sums to the cohort in every cycle,pass,"Black-box test from TECH-VER Table 2, run on the rebuild"
2. Event and state calculations,All occupancies and probabilities are non-negative,pass,"Black-box test from TECH-VER Table 2, run on the rebuild"
2. Event and state calculations,Cumulative deaths are monotonically non-decreasing,pass,"Black-box test from TECH-VER Table 2, run on the rebuild"
2. Event and state calculations,Setting all utilities to one makes QALYs equal life-years,pass,"Black-box test from TECH-VER Table 2, run on the rebuild"
2. Event and state calculations,Setting all utilities to zero accrues no QALYs,pass,"Black-box test from TECH-VER Table 2, run on the rebuild"
2. Event and state calculations,Scaling all utilities down lowers QALYs,pass,"Black-box test from TECH-VER Table 2, run on the rebuild"
2. Event and state calculations,Setting all costs to zero accrues no cost,pass,"Black-box test from TECH-VER Table 2, run on the rebuild"
2. Event and state calculations,Setting mortality to zero produces no deaths,pass,"Black-box test from TECH-VER Table 2, run on the rebuild"
2. Event and state calculations,Cycle-10 occupancy matches the cohort analysis reported in the text,pass,Six of six cells match to the last printed digit across both arms
2. Event and state calculations,Half-cycle correction implemented,not pass,Not mentioned anywhere; ISPOR-SMDM best practice III-14 asks for it in the first and final cycle when the horizon is not lifetime
2. Event and state calculations,Structural restrictions declared,not pass,The three stated assumptions cover neither the absence of recurrent events nor the treatment-independent post-event mortality
2. Event and state calculations,Whole cohort dead by the end of the horizon,N/A,"Ten-year horizon, not lifetime, so TECH-VER's lifetime test does not apply"
3. Result calculations,Cost-effectiveness ratio equals total cost divided by total QALYs,pass,Both arms reconcile exactly
3. Result calculations,Incremental cost equals the difference of the arm totals,pass,8391.53 reproduces exactly
3. Result calculations,Direction of the incremental effect is correct,pass,"Amlodipine accrues more QALYs, consistent with its lower event probabilities"
3. Result calculations,Independent rebuild reconciles to Table 7 on QALYs,pass,"6.5884 and 6.4598 against 6.59 and 6.46, exact at the precision published"
